question,test,valid_n,group_no_median,group_yes_median,p_value,effect_size,fdr_p_value,minimum_expected_count
age vs disease,Mann-Whitney U,920,51.0,57.0,1.288873276620284e-18,0.33718612421665495,1.933309914930426e-18,
trestbps vs disease,Mann-Whitney U,860,130.0,130.0,0.0012996234951253604,0.12669389624766203,0.0014177710855913022,
chol vs disease,Mann-Whitney U,718,233.0,248.0,0.0006970251866489597,0.14631891354341486,0.0008364302239787517,
thalch vs disease,Mann-Whitney U,865,151.0,128.0,9.025959624080583e-32,-0.46279689641404165,2.7077878872241752e-31,
oldpeak vs disease,Mann-Whitney U,858,0.0,1.05,8.512669088720237e-32,0.44529366644751267,2.7077878872241752e-31,
sex vs disease,Chi-square,920,,,2.48545278620117e-20,0.3046045884825904,4.97090557240234e-20,86.66739130434783
cp vs disease,Chi-square,920,,,7.03652487781721e-58,0.5400742172612325,8.443829853380652e-57,20.55
fbs vs disease,Chi-square,830,,,5.9716039956122106e-05,0.13932554738696076,7.962138660816282e-05,66.00722891566265
restecg vs disease,Chi-square,918,,,0.0028628414475911136,0.11295149665859451,0.0028628414475911136,80.140522875817
exang vs disease,Chi-square,865,,,6.422656534867857e-42,0.46123750575910616,3.8535939209207143e-41,152.33179190751446
slope vs disease,Chi-square,611,,,5.0826214306709965e-20,0.3813400212272747,8.713065309721709e-20,22.477905073649755
age vs thalch,Spearman correlation,865,,,4.443888671005433e-26,-0.3483334440764477,1.066533281041304e-25,
